DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-01-11,James Harden,HOU,29.0,37.0,0.5945945945945946,22.0,15.0,37.3,33.9,9.8,22.6,43.6,4.8,12.5,38.6,9.4,11.0,85.3,0.7,5.3,6.0,8.6,5.7,2.0,0.6,3.5,56.1,15.0,5.0,1.6
2019-01-11,Anthony Davis,NOP,25.0,37.0,0.5135135135135135,19.0,18.0,37.0,28.9,10.4,20.2,51.4,0.9,2.9,32.1,7.2,9.0,80.4,3.4,9.9,13.2,4.4,2.0,1.8,2.7,2.5,62.8,29.0,0.0,4.7
2019-01-11,Stephen Curry,GSW,30.0,30.0,0.7333333333333333,22.0,8.0,34.8,28.9,9.6,19.9,48.3,5.0,11.4,44.3,4.6,5.0,91.3,0.6,4.5,5.2,5.5,3.1,1.3,0.3,2.6,45.2,1.0,0.0,8.5
2019-01-11,Kevin Durant,GSW,30.0,41.0,0.6585365853658537,27.0,14.0,35.8,28.4,9.8,19.4,50.5,1.8,5.0,36.4,7.0,7.7,91.1,0.5,6.9,7.4,6.1,3.4,0.8,1.0,1.9,48.6,12.0,2.0,7.0
2019-01-11,Kawhi Leonard,TOR,27.0,33.0,0.696969696969697,23.0,10.0,34.9,27.3,9.5,18.9,50.2,1.7,4.7,36.8,6.6,7.8,84.8,1.2,6.6,7.8,3.1,2.0,1.9,0.5,1.5,46.5,9.0,0.0,5.0
2019-01-11,LeBron James,LAL,34.0,34.0,0.5882352941176471,20.0,14.0,34.7,27.3,10.0,19.3,51.8,2.0,5.6,35.6,5.3,7.8,68.2,0.9,7.4,8.3,7.1,3.4,1.3,0.7,1.6,50.6,17.0,3.0,2.8
2019-01-11,Joel Embiid,PHI,24.0,40.0,0.65,26.0,14.0,33.7,26.9,8.9,18.2,49.0,1.2,3.8,30.1,8.0,9.9,80.6,2.3,11.1,13.5,3.5,3.5,0.6,1.9,3.3,52.2,36.0,1.0,4.6
2019-01-11,Paul George,OKC,28.0,40.0,0.6,24.0,16.0,35.7,26.9,9.2,20.6,44.8,3.4,8.8,38.5,5.1,6.2,82.2,1.5,6.5,8.0,3.9,2.7,2.2,0.6,2.9,47.9,13.0,0.0,7.0
2019-01-11,Giannis Antetokounmpo,MIL,24.0,38.0,0.7105263157894737,27.0,11.0,33.6,26.6,9.9,17.1,58.1,0.4,2.4,16.7,6.3,9.0,69.9,2.4,10.4,12.8,6.0,4.1,1.3,1.5,3.4,55.3,28.0,3.0,7.9
2019-01-11,Damian Lillard,POR,28.0,42.0,0.5952380952380952,25.0,17.0,35.4,25.9,8.5,19.1,44.4,3.0,7.6,38.6,6.0,6.7,89.7,0.8,3.8,4.5,6.1,2.8,1.0,0.5,1.8,42.1,5.0,0.0,3.1
