DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
03-04,Tracy McGrady,ORL,25.0,67.0,0.2835820895522388,19.0,48.0,40.1,28.0,9.7,23.4,41.7,2.6,7.7,33.9,5.9,7.5,79.6,1.4,4.6,6.0,5.5,2.7,1.4,0.6,1.9,46.9,12.0,0.0,-4.7
03-04,Allen Iverson,PHI,29.0,48.0,0.3958333333333333,19.0,29.0,42.6,26.4,9.1,23.4,38.7,1.2,4.1,28.6,7.1,9.5,74.5,0.7,3.0,3.7,6.8,4.4,2.4,0.1,1.8,44.1,8.0,0.0,-1.9
03-04,Peja Stojakovic,SAC,27.0,81.0,0.6790123456790124,55.0,26.0,40.4,24.2,8.2,17.1,48.0,3.0,6.8,43.3,4.9,5.2,92.7,1.1,5.1,6.3,2.1,1.9,1.3,0.2,2.0,37.6,9.0,0.0,5.3
03-04,Kevin Garnett,MIN,28.0,82.0,0.7073170731707317,58.0,24.0,39.5,24.2,9.8,19.6,49.9,0.1,0.5,25.6,4.5,5.7,79.1,3.0,10.9,13.9,5.0,2.6,1.5,2.2,2.5,56.7,71.0,2.0,7.5
03-04,Kobe Bryant,LAL,25.0,65.0,0.7384615384615385,48.0,17.0,37.7,24.0,7.9,18.1,43.8,1.1,3.3,32.7,7.0,8.2,85.2,1.6,3.9,5.5,5.1,2.6,1.7,0.4,2.7,42.0,10.0,1.0,4.8
03-04,Ray Allen,SEA,28.0,56.0,0.44642857142857145,25.0,31.0,38.5,23.0,8.0,18.2,44.0,2.6,6.8,39.2,4.4,4.8,90.4,1.2,3.9,5.1,4.8,2.8,1.3,0.2,2.4,37.9,6.0,1.0,1.6
03-04,Paul Pierce,BOS,26.0,80.0,0.4375,35.0,45.0,38.7,23.0,7.5,18.7,40.2,1.4,4.8,29.9,6.5,7.9,81.9,0.9,5.7,6.5,5.1,3.8,1.6,0.7,2.9,41.5,19.0,1.0,-0.9
03-04,Baron Davis,NOH,25.0,67.0,0.5373134328358209,36.0,31.0,40.1,22.9,8.3,20.9,39.5,2.8,8.7,32.1,3.5,5.3,67.3,1.0,3.3,4.3,7.5,3.2,2.4,0.4,2.7,44.3,22.0,0.0,2.6
03-04,Vince Carter,TOR,27.0,73.0,0.4520547945205479,33.0,40.0,38.2,22.5,8.3,20.0,41.7,1.3,3.3,38.3,4.6,5.7,80.6,1.3,3.5,4.8,4.8,3.1,1.2,0.9,2.9,38.6,7.0,0.0,-0.1
03-04,Tim Duncan,SAS,28.0,69.0,0.7391304347826086,51.0,18.0,36.6,22.3,8.6,17.1,50.1,0.0,0.2,16.7,5.1,8.5,59.9,3.3,9.2,12.4,3.1,2.7,0.9,2.7,2.4,49.9,56.0,0.0,7.9
03-04,Dirk Nowitzki,DAL,26.0,77.0,0.6363636363636364,49.0,28.0,37.9,21.8,7.9,17.0,46.2,1.3,3.8,34.1,4.8,5.5,87.7,1.2,7.5,8.7,2.7,1.8,1.2,1.4,2.8,42.2,31.0,0.0,5.3
03-04,Michael Redd,MIL,24.0,82.0,0.5,41.0,41.0,36.8,21.7,7.7,17.5,44.0,1.5,4.4,35.0,4.7,5.4,86.8,1.4,3.5,5.0,2.3,1.4,1.0,0.1,1.9,32.8,2.0,0.0,-0.7
03-04,Shaquille O'Neal,LAL,32.0,67.0,0.7313432835820896,49.0,18.0,36.8,21.5,8.3,14.1,58.4,0.0,0.0,0.0,4.9,10.1,49.0,3.7,7.8,11.5,2.9,2.9,0.5,2.5,3.4,45.7,43.0,0.0,6.6
03-04,Carmelo Anthony,DEN,20.0,82.0,0.524390243902439,43.0,39.0,36.5,21.0,7.6,17.9,42.6,0.8,2.6,32.2,5.0,6.4,77.7,2.2,3.8,6.1,2.8,3.0,1.2,0.5,2.7,34.5,11.0,0.0,0.8
03-04,LeBron James,CLE,19.0,79.0,0.4177215189873418,33.0,46.0,39.6,20.9,7.9,18.9,41.7,0.8,2.7,29.0,4.4,5.8,75.4,1.3,4.2,5.5,5.9,3.5,1.6,0.7,1.9,40.0,12.0,0.0,-1.8
03-04,Jamal Mashburn,NOH,31.0,19.0,0.42105263157894735,8.0,11.0,38.4,20.8,8.2,20.9,39.2,1.0,3.5,28.4,3.4,4.2,81.3,1.0,5.2,6.2,2.5,1.9,0.7,0.3,2.2,33.0,3.0,0.0,1.5
03-04,Corey Maggette,LAC,24.0,73.0,0.3424657534246575,25.0,48.0,36.0,20.7,6.2,13.9,44.7,1.0,3.2,32.9,7.2,8.5,84.8,1.3,4.6,5.9,3.1,2.8,0.9,0.2,3.0,32.8,5.0,0.0,-2.3
03-04,Amar'e Stoudemire,PHX,21.0,55.0,0.4,22.0,33.0,36.8,20.6,7.5,15.7,47.5,0.0,0.1,20.0,5.6,7.9,71.3,2.9,6.2,9.0,1.4,3.2,1.2,1.6,3.4,38.7,19.0,0.0,-2.3
03-04,Stephon Marbury,NYK,27.0,81.0,0.4567901234567901,37.0,44.0,40.2,20.2,7.4,17.1,43.1,1.1,3.4,31.8,4.4,5.4,81.7,0.7,2.5,3.2,8.9,3.1,1.6,0.1,2.1,39.5,26.0,0.0,-1.1
