DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-01-10,James Harden,HOU,29.0,37.0,0.5945945945945946,22.0,15.0,1378.0,1254.0,364.0,835.0,43.6,179.0,464.0,38.6,347.0,407.0,85.3,27.0,195.0,222.0,318.0,211.0,74.0,22.0,128.0,2074.4,15.0,5.0,58.0
2019-01-10,Kevin Durant,GSW,30.0,41.0,0.6585365853658537,27.0,14.0,1469.0,1163.0,401.0,794.0,50.5,75.0,206.0,36.4,286.0,314.0,91.1,20.0,284.0,304.0,252.0,140.0,32.0,43.0,78.0,1990.8,12.0,2.0,285.0
2019-01-10,Damian Lillard,POR,28.0,42.0,0.5952380952380952,25.0,17.0,1485.0,1089.0,356.0,801.0,44.4,124.0,321.0,38.6,253.0,282.0,89.7,32.0,159.0,191.0,258.0,118.0,41.0,19.0,75.0,1767.2,5.0,0.0,132.0
2019-01-10,Joel Embiid,PHI,24.0,40.0,0.65,26.0,14.0,1348.0,1077.0,356.0,727.0,49.0,46.0,153.0,30.1,319.0,396.0,80.6,93.0,445.0,538.0,140.0,140.0,23.0,75.0,133.0,2086.6,36.0,1.0,185.0
2019-01-10,Anthony Davis,NOP,25.0,37.0,0.5135135135135135,19.0,18.0,1368.0,1070.0,384.0,747.0,51.4,35.0,109.0,32.1,267.0,332.0,80.4,124.0,366.0,490.0,164.0,75.0,66.0,99.0,92.0,2324.0,29.0,0.0,173.0
2019-01-10,Paul George,OKC,28.0,39.0,0.6153846153846154,24.0,15.0,1381.0,1046.0,358.0,799.0,44.8,132.0,344.0,38.4,198.0,240.0,82.5,60.0,252.0,312.0,154.0,106.0,85.0,22.0,114.0,1866.4,13.0,0.0,294.0
2019-01-10,Bradley Beal,WAS,25.0,42.0,0.40476190476190477,17.0,25.0,1538.0,1018.0,380.0,805.0,47.2,105.0,303.0,34.7,153.0,193.0,79.3,42.0,161.0,203.0,200.0,112.0,53.0,34.0,124.0,1710.6,4.0,1.0,-79.0
2019-01-10,Giannis Antetokounmpo,MIL,24.0,38.0,0.7105263157894737,27.0,11.0,1277.0,1010.0,378.0,651.0,58.1,15.0,90.0,16.7,239.0,342.0,69.9,92.0,394.0,486.0,228.0,155.0,49.0,58.0,128.0,2101.2,28.0,3.0,301.0
2019-01-10,Kemba Walker,CHA,28.0,40.0,0.475,19.0,21.0,1373.0,1003.0,345.0,789.0,43.7,126.0,354.0,35.6,187.0,229.0,81.7,18.0,155.0,173.0,232.0,99.0,49.0,19.0,67.0,1663.6,2.0,0.0,39.0
2019-01-10,Blake Griffin,DET,29.0,38.0,0.4473684210526316,17.0,21.0,1366.0,953.0,325.0,684.0,47.5,88.0,243.0,36.2,215.0,287.0,74.9,49.0,266.0,315.0,200.0,143.0,28.0,17.0,106.0,1623.0,15.0,1.0,-33.0
